checkpoint,dataset,snr,n,mean,t_lo,t_hi,median,s_lo,s_hi,spread_kind
pre_rerun,tablet_writing,inf,44,0.8404127029866143,0.8301131647687532,0.8507122412044754,0.8448866543019731,0.7656791174140843,0.8955973130216202,p2.5-p97.5
pre_rerun,whacamole,10.0,181,0.8824143376798261,0.8710936526099476,0.8937350227497046,0.9131861925125122,0.6300918161869049,0.9504885077476501,p2.5-p97.5
pre_rerun,whacamole,20.0,181,0.9029572066022546,0.8913232723627963,0.914591140841713,0.9315083622932434,0.646295428276062,0.9699293375015259,p2.5-p97.5
pre_rerun,whacamole,inf,181,0.9062472815671678,0.8944965730099474,0.9179979901243882,0.9363129138946532,0.6483396291732788,0.9728110134601593,p2.5-p97.5
pre_rerun_s1000,Fitts,10.0,10,0.8640242121653641,0.8313960327167469,0.8966523916139812,0.8633130471721728,0.7759710383360032,0.933635157831986,min-max
pre_rerun_s1000,Fitts,20.0,10,0.8700998262239104,0.8359552263702907,0.90424442607753,0.873385332327127,0.7820373351375262,0.9415242069511003,min-max
pre_rerun_s1000,Fitts,inf,10,0.8735915833733282,0.8414566966057289,0.9057264701409276,0.8757074290238553,0.7871729663952634,0.9408572615566342,min-max
pre_rerun_s1000,crank,10.0,5,0.4544827883839607,0.39033157520766115,0.5186340015602603,0.43886281698942187,0.4028574550151825,0.539854448735714,min-max
pre_rerun_s1000,crank,20.0,5,0.618052673459053,0.5669074659114327,0.6691978810066733,0.6010878416895866,0.5868993747234345,0.6897396931052208,min-max
pre_rerun_s1000,crank,inf,5,0.5932671366333963,0.4847039438824833,0.7018303293843092,0.6128497430682183,0.45401294887065885,0.6847550722956658,min-max
pre_rerun_s1000,object_moving,10.0,5,0.9014154838770627,0.8797949873036632,0.9230359804504622,0.8994465053081513,0.8841745357960462,0.9256749514490366,min-max
pre_rerun_s1000,object_moving,20.0,5,0.949707239717245,0.9424801463744598,0.9569343330600303,0.950416061654687,0.9411725141108036,0.9565604280680418,min-max
pre_rerun_s1000,object_moving,inf,5,0.9543849746882916,0.9489774666742867,0.9597924827022966,0.95414665825665,0.9481555812060833,0.9602205365896225,min-max
pre_rerun_s1000,pointing,10.0,2,0.9713901388909816,0.9186917848256727,1.0240884929562903,0.9713901388909816,0.9672426884791937,0.9755375893027695,min-max
pre_rerun_s1000,pointing,20.0,2,0.9746316962832301,0.962465644056491,0.9867977485099692,0.9746316962832301,0.9736742072076683,0.9755891853587919,min-max
pre_rerun_s1000,pointing,inf,2,0.9745022915724405,0.9431868862689596,1.0058176968759214,0.9745022915724405,0.9720377157251519,0.9769668674197292,min-max
pre_rerun_s1000,steering,10.0,9,0.9454802158806059,0.9409702185385727,0.9499902132226392,0.9444856703281402,0.9358701840043068,0.9551249980926514,min-max
pre_rerun_s1000,steering,20.0,9,0.9648998109830751,0.9604197080464983,0.9693799139196518,0.9627746552228927,0.9561724185943603,0.9743023231625557,min-max
pre_rerun_s1000,steering,inf,9,0.9672135568327374,0.9620178530137838,0.9724092606516909,0.9652882814407349,0.9572147533297539,0.977450980246067,min-max
pre_rerun_s1000,tablet_writing,10.0,44,0.7944764243074769,0.7818792058086744,0.8070736428062794,0.797961775273244,0.7100827327107682,0.8665421662818301,p2.5-p97.5
pre_rerun_s1000,tablet_writing,20.0,44,0.8285524560740679,0.8170702699119727,0.8400346422361631,0.8311514925669858,0.7499506371655565,0.8922895100170916,p2.5-p97.5
pre_rerun_s1000,tablet_writing,inf,44,0.8332942257190169,0.8216985211328496,0.8448899303051842,0.8355482784284887,0.7546825106346352,0.904661572521383,p2.5-p97.5
pre_rerun_s1000,whacamole,10.0,181,0.8883479892878242,0.8783608448282533,0.8983351337473952,0.9123985767364502,0.6820935904979706,0.9501155018806458,p2.5-p97.5
pre_rerun_s1000,whacamole,20.0,181,0.9084613257350184,0.8980389967403183,0.9188836547297184,0.9332895278930664,0.6877998411655426,0.9691777229309082,p2.5-p97.5
pre_rerun_s1000,whacamole,inf,181,0.9117832786470487,0.9012828749006572,0.9222836823934402,0.9362840056419371,0.691671222448349,0.973808914422989,p2.5-p97.5
