checkpoint,dataset,snr,metric,median,lower,upper,n_participants,interval
ft_A,steering,10.0,Reconstruction_R2,0.9419851501782736,0.9340258955955505,0.9529398009181023,9,min–max
ft_A,steering,10.0,Reconstruction_MASE,0.2425943109090909,0.21707466285714286,0.26303367388888893,9,min–max
ft_A,steering,10.0,Number_of_submovements_per_second,2.919949396298482,2.6101563731208444,3.388739585876465,9,min–max
ft_A,steering,20.0,Reconstruction_R2,0.9679233233133951,0.9617155194282532,0.9789232611656189,9,min–max
ft_A,steering,20.0,Reconstruction_MASE,0.15011409866666667,0.1269663371875,0.16184228250000002,9,min–max
ft_A,steering,20.0,Number_of_submovements_per_second,4.105961695313454,3.7430619774386287,4.449507482349873,9,min–max
ft_A,steering,inf,Reconstruction_R2,0.9701975286006927,0.9665653586387635,0.9809183303047629,9,min–max
ft_A,steering,inf,Reconstruction_MASE,0.14043999666666665,0.11522691505882353,0.14542940733333334,9,min–max
ft_A,steering,inf,Number_of_submovements_per_second,5.664810885985692,5.02432937733829,5.994389146566391,9,min–max
ft_A,tablet_writing,10.0,Reconstruction_R2,0.80685193836689,0.7091180086135864,0.9014456272125244,33,min–max
ft_A,tablet_writing,10.0,Reconstruction_MASE,0.39169481333333334,0.27813855,0.53252,33,min–max
ft_A,tablet_writing,10.0,Number_of_submovements_per_second,7.485498547554016,4.109589010477066,9.863013625144958,33,min–max
ft_A,tablet_writing,20.0,Reconstruction_R2,0.8578329086303711,0.7823049575090408,0.9526991762220859,40,p2.5–p97.5
ft_A,tablet_writing,20.0,Reconstruction_MASE,0.3162350983333333,0.206281243,0.406114956875,40,p2.5–p97.5
ft_A,tablet_writing,20.0,Number_of_submovements_per_second,8.690482005476952,5.057110578753054,10.93527790904045,40,p2.5–p97.5
ft_A,tablet_writing,inf,Reconstruction_R2,0.8595754206180573,0.6357479691505432,0.9560337066650392,38,min–max
ft_A,tablet_writing,inf,Reconstruction_MASE,0.297150579047619,0.200119035,0.47562575,38,min–max
ft_A,tablet_writing,inf,Number_of_submovements_per_second,9.351252104554858,6.398678496479988,11.386861503124235,38,min–max
ft_A,whacamole,10.0,Reconstruction_R2,0.929101288318634,0.6713320046663285,0.9557113274931908,128,p2.5–p97.5
ft_A,whacamole,10.0,Reconstruction_MASE,0.310948495,0.24606124950000002,0.64816280875,128,p2.5–p97.5
ft_A,whacamole,10.0,Number_of_submovements_per_second,3.6046984791755676,1.451282512396574,4.554380469024181,128,p2.5–p97.5
ft_A,whacamole,20.0,Reconstruction_R2,0.956658661365509,0.7103146255016327,0.9826476722955704,128,p2.5–p97.5
ft_A,whacamole,20.0,Reconstruction_MASE,0.20941543499999998,0.15495443,0.5511444827500002,128,p2.5–p97.5
ft_A,whacamole,20.0,Number_of_submovements_per_second,4.935303255915642,1.6912451209500432,6.566555868834257,128,p2.5–p97.5
ft_A,whacamole,inf,Reconstruction_R2,0.9611228704452515,0.6853362575173378,0.9815143913030624,128,p2.5–p97.5
ft_A,whacamole,inf,Reconstruction_MASE,0.18930869500000003,0.13338953425,0.5539988155000001,128,p2.5–p97.5
ft_A,whacamole,inf,Number_of_submovements_per_second,5.642072707414627,1.8454418638721108,7.335127718746662,128,p2.5–p97.5
ft_A2,Fitts,10.0,Reconstruction_R2,0.8706672072410584,0.8090404987335205,0.9469574689865112,10,min–max
