checkpoint,dataset,snr,n,delta,lo,hi,p
ft_A2,pointing,20.0,2,0.00039881317774398406,-0.024222230499181898,0.025019856854669866,0.870777994816275
ft_A2,pointing,inf,2,-0.005399894893682977,-0.04871212960475483,0.037912339817388875,0.35847387110532886
ft_A2,steering,10.0,9,-0.00021377371417151557,-0.0006711778630615926,0.0002436304347185614,0.312571138360674
ft_A2,steering,20.0,9,0.0001632622546619864,-0.00037010176817522657,0.0006966262774991993,0.5003068348665256
ft_A2,steering,inf,9,0.00011973811520470267,-0.00018545674640660465,0.00042493297681600996,0.3920430528524402
ft_A2,tablet_writing,10.0,44,-6.855914651291377e-05,-0.0011733358255538817,0.0010362175325280543,0.900988154683875
ft_A2,tablet_writing,20.0,44,0.0005028742214227152,-0.0006612384717844251,0.0016669869146298554,0.38849819469296
ft_A2,tablet_writing,inf,44,-0.0008644170634426816,-0.0018411426320734145,0.00011230850518805131,0.08134910187512823
ft_A2,whacamole,10.0,181,-0.0009178008822446407,-0.0015398927628444818,-0.00029570900164479954,0.004055664203060762
ft_A2,whacamole,20.0,181,-0.0010062301356489457,-0.0015093561023652442,-0.0005031041689326474,0.00011363353787290461
ft_A2,whacamole,inf,181,-0.0009361080701838516,-0.001316889283459575,-0.0005553268569081283,2.6493057939412373e-06
ft_B2,Fitts,10.0,10,-0.0037901862094158246,-0.005770469439674091,-0.0018099029791575588,0.001905988136122651
ft_B2,Fitts,20.0,10,-0.00043547711321640926,-0.00199655433061425,0.0011256001041814315,0.5436990518773505
ft_B2,Fitts,inf,10,-0.0021534821012399565,-0.0041155199630859216,-0.000191444239393991,0.03482618425905531
ft_B2,crank,10.0,5,-0.0037973539233207452,-0.012651390425358015,0.005056682578716523,0.2995761655131779
ft_B2,crank,20.0,5,-0.002477379858493789,-0.006133811443910636,0.0011790517269230577,0.13310367457030936
ft_B2,crank,inf,5,0.01244636172056197,-0.0009630114233297564,0.025855734864453698,0.06151868671100098
ft_B2,object_moving,10.0,5,-0.0020216937363148,-0.005407715826607064,0.0013643283539774634,0.17271130208385138
ft_B2,object_moving,20.0,5,-0.004924067258834808,-0.007165763612552357,-0.002682370905117258,0.0036568985403468237
ft_B2,object_moving,inf,5,-0.003634312748909019,-0.0073988644197601205,0.0001302389219420834,0.05520615747422206
ft_B2,pointing,10.0,2,-0.002729441579171099,-0.011360494565123183,0.005901611406780985,0.15528156088864503
ft_B2,pointing,20.0,2,-0.003017472787288533,-0.0495796596031131,0.04354471402853603,0.5614554329163642
ft_B2,pointing,inf,2,-0.004359573620447532,-0.009050877915248667,0.0003317306743536039,0.05378717766940347
ft_B2,steering,10.0,9,-0.004635075728098552,-0.0055672845876706635,-0.00370286686852644,3.0309854698152717e-06
ft_B2,steering,20.0,9,-0.0005335842569669236,-0.0007855218310598312,-0.00028164668287401594,0.0012182686153417682
ft_B2,steering,inf,9,0.000859596000777353,0.0007185346409066917,0.0010006573606480143,6.384615360628402e-07
ft_B2,tablet_writing,10.0,44,0.0041995275075552285,0.0022618616923919003,0.006137193322718557,7.701965962962452e-05
ft_B2,tablet_writing,20.0,44,0.00188315288400479,0.00030914576489908963,0.0034571600031104905,0.020167662900307772
ft_B2,tablet_writing,inf,44,0.0013457219218363035,5.0786180229463445e-06,0.002686365225649661,0.049176064489380326
ft_B2,whacamole,10.0,181,-0.005225356771142449,-0.007193311623813023,-0.003257401918471875,4.472650311602836e-07
ft_B2,whacamole,20.0,181,-0.004646187329160572,-0.006794318206347296,-0.002498056451973848,3.186191400432297e-05
ft_B2,whacamole,inf,181,-0.00446444914485867,-0.00641085879154758,-0.0025180394981697595,1.0899111665019347e-05
