checkpoint,domain,group,metric,mean,lower,upper,n_units,unit
ft_released,organic,steering/snr10,Number_of_submovements_per_second,2.8461103809066115,2.71515816450119,3.040147125720978,9,participant
ft_released,organic,tablet_writing/snrinf,Reconstruction_R2,0.8675993590950966,0.8485068678855896,0.8881570100784302,41,participant
ft_released,organic,tablet_writing/snrinf,Reconstruction_MASE,0.2927508573681116,0.260618656873703,0.3204175643622875,41,participant
ft_released,organic,tablet_writing/snrinf,Number_of_submovements_per_second,9.235305698812008,8.66666704416275,9.68648448586464,41,participant
ft_released,organic,tablet_writing/snr20,Reconstruction_R2,0.8656786534339189,0.8470444954931736,0.8838539719581604,41,participant
ft_released,organic,tablet_writing/snr20,Reconstruction_MASE,0.31276336528360843,0.28587421774864197,0.33876940608024597,41,participant
ft_released,organic,tablet_writing/snr20,Number_of_submovements_per_second,8.74733035326004,8.167080134153366,9.263158142566681,41,participant
ft_released,organic,tablet_writing/snr10,Reconstruction_R2,0.8132147993296385,0.7823362648487091,0.8338018953800201,41,participant
ft_released,organic,tablet_writing/snr10,Reconstruction_MASE,0.37892925952374934,0.3559036493301392,0.4114348582923412,41,participant
ft_released,organic,tablet_writing/snr10,Number_of_submovements_per_second,7.298186099231243,6.666666716337204,7.988830380141725,41,participant
ft_released,organic,whacamole/snrinf,Reconstruction_R2,0.9603166021555662,0.9486682415008545,0.9659208089113236,176,participant
ft_released,organic,whacamole/snrinf,Reconstruction_MASE,0.18854279986023903,0.17980485297739507,0.1995529681444168,176,participant
ft_released,organic,whacamole/snrinf,Number_of_submovements_per_second,5.606957595460117,5.159745812416077,5.9244254976511,176,participant
ft_released,organic,whacamole/snr20,Reconstruction_R2,0.9566297144591809,0.9467759132385254,0.9626049399375916,176,participant
ft_released,organic,whacamole/snr20,Reconstruction_MASE,0.2097395814806223,0.19994156062602997,0.22305507957935333,176,participant
ft_released,organic,whacamole/snr20,Number_of_submovements_per_second,4.879986158721149,4.502745643258095,5.160995498299599,176,participant
ft_released,organic,whacamole/snr10,Reconstruction_R2,0.9274336912631989,0.9173308610916138,0.9342928528785706,176,participant
ft_released,organic,whacamole/snr10,Reconstruction_MASE,0.30988672603666784,0.29620060324668884,0.32243552803993225,176,participant
ft_released,organic,whacamole/snr10,Number_of_submovements_per_second,3.516706421747804,3.239270970225334,3.736922716721892,176,participant
ft_A,synthetic,all,Reconstruction_R2,0.9846625628415495,0.9841308077826397,0.9852053858630825,4608,trial
ft_A,synthetic,all,Reconstruction_MASE,0.08767505677193792,0.08587941216820177,0.08960256264896695,4608,trial
ft_A,synthetic,all,Onset_Precision,0.8046715634412455,0.80039547020755,0.8087256195181433,4608,trial
ft_A,synthetic,all,Onset_Recall,0.8810966887680018,0.8773052801423639,0.8849431202605984,4608,trial
ft_A,synthetic,all,Onset_F1,0.8387687258576694,0.8347513121527991,0.8425156681133126,4608,trial
ft_A,synthetic,all,Onset_Distance,0.8160986308545977,0.7978353629270323,0.8336541661658909,4608,trial
ft_A,synthetic,all,Amplitude_R2,0.8439020410102481,0.8378482377269797,0.8495889821209452,4608,trial
ft_A,synthetic,all,Duration_R2,0.8008840198162943,0.7930866879039159,0.8085783821714965,4608,trial
ft_A,synthetic,all,Number_of_submovements_per_second,2.9326563802169403,2.8899060534337577,2.976615366537468,4608,trial
ft_A,synthetic,snr10_refr0.0-0.5,Reconstruction_R2,0.9434833361301571,0.9419282323855441,0.9449576364771929,512,trial
ft_A,synthetic,snr10_refr0.0-0.5,Reconstruction_MASE,0.21476076770341024,0.21259781520202523,0.21683786404973943,512,trial
ft_A,synthetic,snr10_refr0.0-0.5,Onset_Precision,0.5815046819445551,0.5767170070283616,0.5864416383184363,512,trial
ft_A,synthetic,snr10_refr0.0-0.5,Onset_Recall,0.5919484643080584,0.586661896393684,0.5972613488432004,512,trial
