checkpoint,dataset,snr,metric,participant,n_trials,estimate,lower,upper
pre_released,pointing,inf,Reconstruction_MASE,D,351,0.16414153360968659,0.15822306932962965,0.17055157471289176
pre_released,pointing,inf,Reconstruction_R2,B,332,0.9742995430547071,0.9712263056851295,0.9770229903195637
pre_released,pointing,inf,Reconstruction_R2,D,351,0.9770538696536312,0.9741454570339276,0.9796851788023938
pre_released,steering,10.0,Number_of_submovements_per_second,10,40,3.5675934813916683,3.513994266372174,3.624894681852311
pre_released,steering,10.0,Number_of_submovements_per_second,12,40,3.5939960181713104,3.5176192404236644,3.6770919035654512
pre_released,steering,10.0,Number_of_submovements_per_second,14,40,3.500355899333954,3.445357663789764,3.563009584089741
pre_released,steering,10.0,Number_of_submovements_per_second,16,40,3.2000419925898314,3.158889717143029,3.239188883733004
pre_released,steering,10.0,Number_of_submovements_per_second,18,40,3.6694107726216316,3.5880724728573115,3.7535922565497457
pre_released,steering,10.0,Number_of_submovements_per_second,2,40,3.7381289061158895,3.6604371667373927,3.815203845128417
pre_released,steering,10.0,Number_of_submovements_per_second,4,40,3.4728233870118856,3.3803838717285544,3.5714978428557513
pre_released,steering,10.0,Number_of_submovements_per_second,6,40,4.1593591421842575,4.073848739080131,4.248348321206867
pre_released,steering,10.0,Number_of_submovements_per_second,8,40,3.3639954943209887,3.3031529295723887,3.4229527448303996
pre_released,steering,10.0,Reconstruction_MASE,10,40,0.23979525199999996,0.23763371113124998,0.24191937779375
pre_released,steering,10.0,Reconstruction_MASE,12,40,0.23749609200000005,0.23447264270624998,0.24051402161874996
pre_released,steering,10.0,Reconstruction_MASE,14,40,0.25844413875,0.25573390601874996,0.26144229890625
pre_released,steering,10.0,Reconstruction_MASE,16,40,0.21926213700000002,0.21676435355624998,0.22173234613749998
pre_released,steering,10.0,Reconstruction_MASE,18,40,0.24293978625,0.23999481311874998,0.24598143834375
pre_released,steering,10.0,Reconstruction_MASE,2,40,0.24594554575,0.24382783460625002,0.24814438245624998
pre_released,steering,10.0,Reconstruction_MASE,4,40,0.234849343,0.23257018568749996,0.23701316614374998
