checkpoint,domain,group,variant,mean,lower,upper,n
pre_rerun,synthetic,snrinf_refr1-1.5,pooled recompute (paper),0.9996463839073628,0.9996345572872967,0.9996569324522921,512
pre_rerun_s1000,synthetic,all,per-trial mean (mine),0.9847727389912859,0.9842409775207569,0.9852889457326253,4608
pre_rerun_s1000,synthetic,all,pooled recompute (paper),0.9793826894837971,0.9787231585591373,0.9800520833378324,4608
pre_rerun_s1000,synthetic,snr10.0_refr0.0-0.5,per-trial mean (mine),0.9499259799752036,0.9485652618750464,0.9511901050631423,512
pre_rerun_s1000,synthetic,snr10.0_refr0.0-0.5,pooled recompute (paper),0.9512307571541189,0.9499461447992033,0.9524153855050317,512
pre_rerun_s1000,synthetic,snr10.0_refr0.5-1.0,per-trial mean (mine),0.9730699909996474,0.971990986034507,0.9740301198326051,512
pre_rerun_s1000,synthetic,snr10.0_refr0.5-1.0,pooled recompute (paper),0.9735240336131544,0.9723980039630828,0.974503521912818,512
pre_rerun_s1000,synthetic,snr10.0_refr1-1.5,per-trial mean (mine),0.9890044192523928,0.9886580236314331,0.9893296549213119,512
pre_rerun_s1000,synthetic,snr10.0_refr1-1.5,pooled recompute (paper),0.9891900049786638,0.9888240808744064,0.9895446126963381,512
pre_rerun_s1000,synthetic,snr20.0_refr0.0-0.5,per-trial mean (mine),0.974949069032562,0.9737372816569405,0.9760121779690962,512
pre_rerun_s1000,synthetic,snr20.0_refr0.0-0.5,pooled recompute (paper),0.9754382114523154,0.974289531269023,0.9764999877480651,512
pre_rerun_s1000,synthetic,snr20.0_refr0.5-1.0,per-trial mean (mine),0.9940079091690132,0.9935113784857095,0.9944499293371336,512
pre_rerun_s1000,synthetic,snr20.0_refr0.5-1.0,pooled recompute (paper),0.9940122268750721,0.993489880640876,0.9944786053471935,512
pre_rerun_s1000,synthetic,snr20.0_refr1-1.5,per-trial mean (mine),0.9983347242033924,0.9981850661686622,0.9984585901256651,512
pre_rerun_s1000,synthetic,snr20.0_refr1-1.5,pooled recompute (paper),0.9983347629709962,0.9981566586154518,0.9984793112989087,512
pre_rerun_s1000,synthetic,snrinf_refr0.0-0.5,per-trial mean (mine),0.9850410309709842,0.9843637506506638,0.9856971794913989,512
pre_rerun_s1000,synthetic,snrinf_refr0.0-0.5,pooled recompute (paper),0.9853572793629392,0.9846735814356922,0.986011020750858,512
pre_rerun_s1000,synthetic,snrinf_refr0.5-1.0,per-trial mean (mine),0.9988968718075776,0.9988297188654542,0.9989581723668379,512
pre_rerun_s1000,synthetic,snrinf_refr0.5-1.0,pooled recompute (paper),0.998914701361302,0.9988466291438507,0.9989766500479693,512
pre_rerun_s1000,synthetic,snrinf_refr1-1.5,per-trial mean (mine),0.9996767728863051,0.9996659588796319,0.9996862769679865,512
pre_rerun_s1000,synthetic,snrinf_refr1-1.5,pooled recompute (paper),0.9996842183308938,0.9996709985840596,0.9996951805800185,512
ft_A,organic,Fitts/snr10.0,"per dataset, mean (mine)",0.8766758185918443,0.8392759669688531,0.9086667286232113,10
ft_A,organic,crank/snr10.0,"per dataset, mean (mine)",0.842919715560507,0.8184327917871996,0.8640832092496566,5
ft_A,organic,object_moving/snr10.0,"per dataset, mean (mine)",0.9116989087727853,0.8809934149961919,0.9371294561424293,5
ft_A,organic,pointing/snr10.0,"per dataset, mean (mine)",0.9705712700644508,0.9655454426188953,0.9748869871487841,2
ft_A,organic,steering/snr10.0,"per dataset, mean (mine)",0.9427274366959464,0.9387795524904504,0.947035635903012,9
ft_A,organic,tablet_writing/snr10.0,"per dataset, mean (mine)",0.8043591053695418,0.7852842713356949,0.8221948601538316,33
ft_A,organic,whacamole/snr10.0,"per dataset, mean (mine)",0.8982193417418748,0.8791943253134378,0.9149733656318858,128
ft_A,organic,ALL/snr10.0,"pooled+balanced, median (paper)",0.9288759226202965,0.9223121404647828,0.9341349393129349,187
ft_A,organic,ALL/snr10.0,"pooled+balanced, mean",0.8924899896866907,0.8841569994010829,0.900193445199901,187
ft_A,organic,Fitts/snr20.0,"per dataset, mean (mine)",0.8849092698276508,0.8464332207106053,0.9157788873068057,10
ft_A,organic,crank/snr20.0,"per dataset, mean (mine)",0.9254970708678011,0.9050190315232612,0.9408964920439757,5
ft_A,organic,object_moving/snr20.0,"per dataset, mean (mine)",0.9769483669179027,0.9729447644203901,0.9804435924394056,5
ft_A,organic,pointing/snr20.0,"per dataset, mean (mine)",0.9774669361698907,0.9619045005179941,0.984377033263445,2
ft_A,organic,steering/snr20.0,"per dataset, mean (mine)",0.9704034681220073,0.9666027878061868,0.9743371352902613,9
ft_A,organic,tablet_writing/snr20.0,"per dataset, mean (mine)",0.859765985081438,0.8428288970491848,0.8757094665314071,40
ft_A,organic,whacamole/snr20.0,"per dataset, mean (mine)",0.9250474540118594,0.9062450533849187,0.9413800166686996,128
ft_A,organic,ALL/snr20.0,"pooled+balanced, median (paper)",0.962254200860858,0.9589695855975151,0.9648076295852661,194
ft_A,organic,ALL/snr20.0,"pooled+balanced, mean",0.9312657842018442,0.9238129209011926,0.9382889944511199,194
ft_A,organic,Fitts/snrinf,"per dataset, mean (mine)",0.858625056068413,0.8080708046210929,0.9001203182269819,10
ft_A,organic,crank/snrinf,"per dataset, mean (mine)",0.8873486229705159,0.8673386902082711,0.9061740834498778,5
