checkpoint,dataset,snr,metric,n_participants,median,q25,q75,min_estimate,max_estimate,envelope_lo,envelope_hi,mixture_lo,mixture_hi
pre_rerun,object_moving,20.0,Reconstruction_MASE,5,0.11932637611875001,0.11826546409375001,0.12384824206875,0.114967900425,0.125229707975,0.10759285286140624,0.13579055434203124,0.11006162735140626,0.13243655939484372
pre_rerun,object_moving,20.0,Reconstruction_R2,5,0.9546197094023228,0.94987503439188,0.9580848183482885,0.9476184207946062,0.960321843251586,0.929854071456939,0.9675662937480957,0.9360706852935254,0.9654086802899837
pre_rerun,object_moving,inf,Number_of_submovements_per_second,5,4.779271317645907,4.694353908766061,4.801796019659378,4.669204942882061,4.860205197706819,4.480403001385275,5.055618021881673,4.521881835674867,5.001374495134224
pre_rerun,object_moving,inf,Reconstruction_MASE,5,0.12231525947500002,0.12105690443750002,0.12335614764375,0.11924477681250001,0.12508136133749997,0.11232408147343748,0.13422500844328125,0.11396465848953125,0.13192920645734374
pre_rerun,object_moving,inf,Reconstruction_R2,5,0.9519177127629519,0.9518322359770537,0.954784769564867,0.9502567417919636,0.9549072336405515,0.9397400417923927,0.9619495928660035,0.9423580347560346,0.9611884094960987
pre_rerun,pointing,10.0,Number_of_submovements_per_second,2,1.3471723212952353,1.3040091948438883,1.3903354477465821,1.2608460683925413,1.4334985741979291,1.1926208022772895,1.5127066425804017,1.204274994187921,1.5011097675479916
pre_rerun,pointing,10.0,Reconstruction_MASE,2,0.1989615214561494,0.19767789802325542,0.20024514488904338,0.19639427459036146,0.20152876832193733,0.1901591998626506,0.20702742449722222,0.19105805463870482,0.2062041428148148
pre_rerun,pointing,10.0,Reconstruction_R2,2,0.9699651702631864,0.9686162447320866,0.9713140957942861,0.9672673192009869,0.9726630213253858,0.9637726738106415,0.9750312521247102,0.9643206235919013,0.9747315393384025
pre_rerun,pointing,20.0,Number_of_submovements_per_second,2,2.0593642702929604,2.0516568727989544,2.0670716677869665,2.043949475304948,2.074779065280973,1.975790104490474,2.1519327707552205,1.9837698550918736,2.141957478739422
pre_rerun,pointing,20.0,Reconstruction_MASE,2,0.1642967800146054,0.16313341193501354,0.1654601480941973,0.16197004385542169,0.16662351617378915,0.15642153146912652,0.17288899680384615,0.15742458594706324,0.17183321205527066
pre_rerun,pointing,20.0,Reconstruction_R2,2,0.9770198400941053,0.9761828862450833,0.9778567939431271,0.9753459323960615,0.9786937477921489,0.9722918349576284,0.9818843872416393,0.9728400047688958,0.9813419756344242
pre_rerun,pointing,inf,Number_of_submovements_per_second,2,3.6641622608543463,3.6538379962564025,3.6744865254522896,3.6435137316584587,3.6848107900502334,3.5241890105289824,3.807063818009745,3.5404747067782356,3.7957326357101655
pre_rerun,pointing,inf,Reconstruction_MASE,2,0.16258589965361875,0.1614015422741028,0.1637702570331347,0.1602171848945869,0.1649546144126506,0.1544170524704416,0.17296654624224397,0.15522330794707997,0.17181293984789156
pre_rerun,pointing,inf,Reconstruction_R2,2,0.974682497952585,0.9724142323826869,0.976950763522483,0.9701459668127888,0.9792190290923811,0.9637022851820451,0.981891612751022,0.9648659275014357,0.9815271977770362
pre_rerun,steering,10.0,Number_of_submovements_per_second,9,3.474356923252344,3.36813972517848,3.548245847225189,3.185796808451414,4.014500241726637,3.140831303503364,4.094558053370565,3.167268513422459,4.045517499698326
