checkpoint,dataset,snr,mean,lower,upper,n
ft_B,pointing,10.0,0.9712532929739528,0.954799408083917,0.9877071778639887,2
ft_B,pointing,20.0,0.9775713673117115,0.9757899830215809,0.979352751601842,2
ft_B,pointing,inf,0.9787420802472826,0.8943037531414124,1.0631804073531528,2
ft_B,steering,10.0,0.9415522768700773,0.9364990367009667,0.9466055170391878,9
ft_B,steering,20.0,0.9701349231471986,0.9654139797385185,0.9748558665558787,9
ft_B,steering,inf,0.9741266300351228,0.9701233559401979,0.9781299041300476,9
ft_B,tablet_writing,10.0,0.8136898089047762,0.7982688397197281,0.8291107780898243,33
ft_B,tablet_writing,20.0,0.8556404055992053,0.8411554495068589,0.8701253616915516,40
ft_B,tablet_writing,inf,0.866804280649301,0.8513002946516813,0.8823082666469207,38
ft_B,whacamole,10.0,0.8917987085878849,0.8770120197550149,0.906585397420755,128
ft_B,whacamole,20.0,0.9203492612577975,0.9060470363541944,0.9346514861614006,128
ft_B,whacamole,inf,0.923999679274857,0.9097226643746742,0.9382766941750399,128
ft_B2,Fitts,10.0,0.8682928175359835,0.8313536283877999,0.9052320066841671,10
ft_B2,Fitts,20.0,0.8910063464687374,0.8520509292156803,0.9299617637217946,10
ft_B2,Fitts,inf,0.8488809732082677,0.7957316757491881,0.9020302706673473,10
ft_B2,crank,10.0,0.8907845736579512,0.8830631056392214,0.8985060416766809,5
ft_B2,crank,20.0,0.9256176053405879,0.9056497893789076,0.9455854213022682,5
ft_B2,crank,inf,0.9080609662878301,0.8931503821901168,0.9229715503855433,5
ft_B2,object_moving,10.0,0.9059903254710807,0.8777964146868278,0.9341842362553336,5
ft_B2,object_moving,20.0,0.9716606571316746,0.9657225453818158,0.9775987688815334,5
ft_B2,object_moving,inf,0.9612071944607627,0.9354597116780051,0.9869546772435204,5
ft_B2,pointing,10.0,0.9643234887839237,0.9093140426120723,1.0193329349557751,2
ft_B2,pointing,20.0,0.9756253918596343,0.9408850055392591,1.0103657781800093,2
ft_B2,pointing,inf,0.9785555841828256,0.9146751435239704,1.0424360248416809,2
ft_B2,steering,10.0,0.9391466053796981,0.9343153479941323,0.9439778627652639,9
ft_B2,steering,20.0,0.9699931327023622,0.9654406842892367,0.9745455811154877,9
ft_B2,steering,inf,0.9738982380453712,0.9696510951706309,0.9781453809201116,9
ft_B2,tablet_writing,10.0,0.8096638706676634,0.7928041106099116,0.8265236307254152,33
ft_B2,tablet_writing,20.0,0.8576092438222396,0.84365737932622,0.8715611083182592,40
ft_B2,tablet_writing,inf,0.8657754496486862,0.8499545767580103,0.8815963225393622,38
ft_B2,whacamole,10.0,0.8933137408457696,0.879532237800669,0.9070952438908703,128
ft_B2,whacamole,20.0,0.9213457773439586,0.9076767552864731,0.9350147994014442,128
ft_B2,whacamole,inf,0.924801689106971,0.9109451273370789,0.9386582508768632,128
ft_released,Fitts,10.0,0.8698593749409114,0.8346735873605838,0.9050451625212389,10
ft_released,Fitts,20.0,0.8891937435636882,0.8481239730587088,0.9302635140686676,10
ft_released,Fitts,inf,0.8529221251638246,0.8066365965296433,0.8992076537980059,10
